;title;publish_date;views_cnt;paragraph_cnt;images_cnt;strong_cnt;quote_cnt;list_cnt;list_items_cnt;url;r_flesch_grade;r_flesch_easy;r_liau;r_smog;r_auto;r_lix;level
0;Математическое моделирование и прогнозирование распространения COVID-19 вРоссии;-1;-1;28;8;2;0;2;11;https://spbpu.com/proekty/matematicheskoe-modelirovanie-i-prognozirovanie-rasprostraneniya-covid-19-v-rossii/task/;17.431526684164478;1.146804774403222;13.977524059492566;28.27319545878464;17.1056106424197;91.69372578427698;postgraduate
1;Виртуальная учебно-проектная арт-лаборатория и выставочное пространство;-1;-1;25;12;2;0;0;5;https://spbpu.com/proekty/8827/task/;11.782454929037204;38.701003068661294;7.8870886075949365;23.89281862532197;9.455227848101266;79.76217874952053;mixed
2;Методика конкурса для школьников по экологическому мониторингу Земли изкосмоса с помощью цифровых технологий;-1;-1;35;12;7;0;0;6;https://spbpu.com/proekty/metodika-konkursa-dlya-shkolnikov-po-ekologicheskomu-monitoringu-zemli-iz-kosmosa-s-pomoshhyu-czifrovyh-tehnologij/task/;15.297577087239222;18.44738780964539;11.29907375643225;25.702458969127907;14.034846982328773;86.12142486736607;postgraduate
3;Виртуальная модель гидропривода для лабораторных работ;-1;-1;18;18;0;0;0;19;https://spbpu.com/proekty/virtualnaya-model-gidroprivoda-dlya-laboratornyh-rabot/task/;7.9874592725580165;60.895476095485066;3.5874147217235155;20.46777003821263;3.90000428884899;72.87379480018619;mixed
4;Виртуальная компрессорная лаборатория;-1;-1;48;48;17;0;9;45;https://spbpu.com/proekty/virtualnaya-kompressornaya-laboratoriya/task/;18.625115288220552;30.234944862155402;4.792539682539683;31.635518833794706;10.14113604845447;92.812447786132;mixed
5;Виртуальные стенды для лабораторных работ по дисциплине «Безопасностьжизнедеятельности»;-1;-1;18;20;0;0;0;19;https://spbpu.com/proekty/virtualnye-stendy-dlya-laboratornyh-rabot-po-disczipline-bezopasnost-zhiznedeyatelnosti/task/;9.704625850340136;57.340272108843536;3.524591836734693;21.781380919459924;4.609086734693882;75.86054421768708;high
6;Система датчиков для экологического и санитарно-эпидемиологическогомониторинга;-1;-1;22;9;4;0;2;14;https://spbpu.com/proekty/sistema-datchikov-dlya-ekologicheskogo-i-sanitarno-epidemiologicheskogo-monitoringa/task/;12.5674477483301;32.645202542555495;9.054615384615392;22.743082646480623;10.815553418803418;77.93438914027149;high
7;Цифровая модель управления процессом социального обеспечения детей-сирот;-1;-1;10;0;0;0;1;3;https://spbpu.com/proekty/czifrovaya-model-upravleniya-proczessom-soczialnogo-obespecheniya-detej-sirot/task/;20.145890685142415;-16.682428791377987;17.732355658198614;30.33444705345193;21.758993764434173;95.1484218629715;postgraduate
8;Цифровой сервис для оценки удобочитаемости текстов на веб-сайтах вузов;-1;-1;29;6;30;0;5;17;https://spbpu.com/proekty/czifrovoj-servis-polyling-dlya-oczenki-udobochitaemosti-i-vizualnogo-vospriyatiya-tekstov-na-veb-sajtah-vuzov/task/;14.66594117647059;23.87647058823532;10.538014705882357;23.970182273553018;13.187585294117646;85.36176470588235;mixed
9;Система планирования производства в машиностроении;-1;-1;14;0;1;0;4;13;https://spbpu.com/proekty/sistema-planirovaniya-proizvodstva-v-mashinostroenii/task/;14.002358716475094;-0.4279549808429124;17.604865900383146;21.53645939888655;19.154506824712648;84.128591954023;postgraduate
10;ПО для цифрового моделирования региональной инновационной системы РФ какдрайвера устойчивого развития;-1;-1;7;0;5;0;1;4;https://spbpu.com/proekty/po-dlya-czifrovogo-modelirovaniya-regionalnoj-innovaczionnoj-sistemy-rf-kak-drajvera-ustojchivogo-razvitiya/task/;19.88354166666667;-27.828541666666666;21.953854166666666;30.516723650566693;25.478562500000002;98.21875;postgraduate
11;Разработка нейросетей для обнаружения дефектов в промышленности;-1;-1;16;0;4;0;2;17;https://spbpu.com/proekty/razrabotka-nejrosetej-dlya-obnaruzheniya-defektov-v-promyshlennosti/task/;16.641584255042286;-6.79468445022772;17.758836477987423;25.431009735083705;20.28011429191065;87.8115376274127;postgraduate
12;Создание комплексной BIM-модели для проектирования реконструкции комплексаочистных сооружений;-1;-1;6;4;0;0;1;9;https://spbpu.com/proekty/sozdanie-kompleksnoj-bim-modeli-dlya-proektirovaniya-rekonstrukczii-kompleksa-ochistnyh-sooruzhenij/task/;14.331734431291817;15.427532166752428;12.961044776119408;24.676415590328734;15.056039629439006;87.43180648481729;mixed
13;ПО для анализа паттернов мозговой активности лабораторных мышей;-1;-1;20;6;3;0;4;14;https://spbpu.com/proekty/po-dlya-analiza-patternov-mozgovoj-aktivnosti-laboratornyh-myshej/task/;13.705368283093055;17.020557011795546;12.823342070773265;24.60595359872748;14.636787287024895;86.67549148099607;mixed
14;ПО для анализа поведенческих стратегий мышиных моделей;-1;-1;18;4;1;0;4;12;https://spbpu.com/proekty/po-dlya-analiza-povedencheskih-strategij-myshinyh-modelej/task/;13.803810935441366;14.250645586297765;13.2635441370224;24.08247571285341;14.998907938076421;83.79743083003953;mixed
15;Геопортал «Санитарно-эпидемиологическое благополучие населения вАрктической зоне РФ»;-1;-1;18;0;2;0;4;21;https://spbpu.com/proekty/geoportal-sanitarno-epidemiologicheskoe-blagopoluchie-naseleniya-v-arkticheskoj-zone-rossijskoj-federaczii/task/;18.06671242774566;-19.364320809248568;20.487341040462425;27.550109999780002;23.325511921965315;91.33598265895954;postgraduate
16;Программно-аппаратный комплекс для обнаружения и классификации дефектовтканей;-1;-1;22;10;4;0;2;12;https://spbpu.com/proekty/programmno-apparatnyj-kompleks-dlya-obnaruzheniya-i-klassifikaczii-defektov-tkanej/task/;13.017985917559045;27.568922546574754;10.644438902743147;23.04499945640356;12.519866583541145;82.69047968314509;mixed
17;Образовательная платформа и методика для обучения школьников технологиямИндустрии 4.0;-1;-1;13;0;3;0;3;8;https://spbpu.com/proekty/obrazovatelnaya-platforma-i-metodika-dlya-obucheniya-shkolnikov-tehnologiyam-industrii-4-0/task/;18.30907152230971;-8.144770341207362;16.518031496062996;29.70413124675886;19.826948326771657;91.49770341207349;postgraduate
